################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4301212438792544E-02 a       148     0     8     1     8
  6.0841854298748199E-01 a       149     0     8     1     9
 -2.8317672343461004E+00 a       150     0     8     1    10
 -1.8167919012359481E+00 a       151     0     8     1    11
 -1.8732901813752658E+00 a       152     0     8     1    12
  6.8434966402671715E-01 a       153     0     8     1    13
  3.0505062938277057E+00 a       154     0     8     1    14
 -1.3283692835881331E+00 a       155     0     8     1    15
 -3.4496779359674492E+00 a       156     0     8     1    16
 -2.3741741162702296E-01 a       157     0     8     1    17
 -1.7726559114435285E+00 a       158     0     8     1    18
 -5.0597740322290863E-01 a       159     0     8     1    19
 -6.9039237447921084E-03 a       160     0     8     1    20
 -1.3084915433262136E+00 a       161     0     9     1     1
 -3.1784420334619834E+00 a       162     0     9     1     2
 -3.7143405292658893E-01 a       163     0     9     1     3
  6.1633080862840688E-02 a       164     0     9     1     4
  1.1845104613922874E-01 a       165     0     9     1     5
  1.7659997180154592E+00 a       166     0     9     1     6
 -1.2941138169642391E-01 a       167     0     9     1     7
 -3.1131858461322526E-01 a       168     0     9     1     8
 -1.3299300591295666E+00 a       169     0     9     1     9
  2.6596090784903907E+00 a       170     0     9     1    10
  1.9210178272455971E+00 a       171     0     9     1    11
  3.1590072519100199E+00 a       172     0     9     1    12
 -1.0974525295889122E+00 a       173     0     9     1    13
 -2.4573611736815737E+00 a       174     0     9     1    14
  2.5831420045322235E+00 a       175     0     9     1    15
  1.4230994757169750E+00 a       176     0     9     1    16
  8.1478545900713972E-01 a       177     0     9     1    17
  3.0461845717554326E+00 a       178     0     9     1    18
 -4.7336104747731772E-01 a       179     0     9     1    19
 -4.7598710550104051E-01 a       180     0     9     1    20
 -3.2126240752958758E-02 a       181     0    10     1     1
 -1.3272469174543178E+00 a       182     0    10     1     2
 -9.5604064303813707E-01 a       183     0    10     1     3
 -1.5091349426072935E+00 a       184     0    10     1     4
 -4.2437083076893874E-02 a       185     0    10     1     5
  9.4995097765744374E-01 a       186     0    10     1     6
 -2.1495997859607638E+00 a       187     0    10     1     7
 -6.1768706116923999E-01 a       188     0    10     1     8
 -1.4861117565497373E+00 a       189     0    10     1     9
  1.2083705459951999E+00 a       190     0    10     1    10
 -5.3106357269476615E-02 a       191     0    10     1    11
  1.5324211429018875E+00 a       192     0    10     1    12
 -8.4096552757206081E-02 a       193     0    10     1    13
 -1.2624080922156371E+00 a       194     0    10     1    14
  1.9632826867121729E+00 a       195     0    10     1    15
 -1.0119121617748748E+00 a       196     0    10     1    16
 -4.2094478636504457E-01 a       197     0    10     1    17
 -1.4510446544856859E+00 a       198     0    10     1    18
 -6.9971350706495017E-01 a       199     0    10     1    19
 -1.6073487154889827E+00 a       200     0    10     1    20
  2.4787010477834454E-01 a       201     0    11     1     1
  1.2803545713051461E+00 a       202     0    11     1     2
  1.3967401852759254E+00 a       203     0    11     1     3
 -2.0485161658901627E+00 a       204     0    11     1     4
 -7.0054123692594272E-01 a       205     0    11     1     5
 -6.4043131212268267E-01 a       206     0    11     1     6
  1.1489877518110025E+00 a       207     0    11     1     7
 -6.2490689020838563E-01 a       208     0    11     1     8
  7.6696109295543935E-01 a       209     0    11     1     9
 -1.5301700907895310E+00 a       210     0    11     1    10
 -2.7182443289461471E+00 a       211     0    11     1    11
 -2.6140733299847114E+00 a       212     0    11     1    12
  1.0561959949968780E+00 a       213     0    11     1    13
  4.1477996281735702E-01 a       214     0    11     1    14
 -2.9759322374779686E+00 a       215     0    11     1    15
  1.2019099475314403E-01 a       216     0    11     1    16
  1.9195372711453469E+00 a       217     0    11     1    17
