################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1283470595244630E+01 a       150     0    10     1     6
  1.3440877707862429E+00 a       151     0    10     1     7
 -3.9112238976757716E+01 a       152     0    10     1     8
 -1.3275701933008634E+01 a       153     0    10     1     9
  7.2990656407455159E+00 a       154     0    10     1    10
 -9.8834697918164380E+00 a       155     0    10     1    11
  1.9608451971190163E+01 a       156     0    10     1    12
 -8.1450711350273686E+00 a       157     0    10     1    13
  2.3944518078364867E+00 a       158     0    10     1    14
  5.0413079091802167E+01 a       159     0    10     1    15
 -4.1349150066307992E+01 a       160     0    10     1    16
  1.6653321835919023E+01 a       161     0    11     1     1
  8.5794278967325877E-01 a       162     0    11     1     2
 -1.2287996468169482E+01 a       163     0    11     1     3
 -4.1900981133383617E+01 a       164     0    11     1     4
  6.3616404495801016E+00 a       165     0    11     1     5
 -1.7316665902623036E+01 a       166     0    11     1     6
  8.8472453364270692E+01 a       167     0    11     1     7
 -1.8130958939500683E+01 a       168     0    11     1     8
 -1.4362546899055832E+01 a       169     0    11     1     9
 -1.0945908529878910E+01 a       170     0    11     1    10
 -2.2841428079624806E+00 a       171     0    11     1    11
 -8.0070238879874296E+00 a       172     0    11     1    12
  3.6292610209469068E+01 a       173     0    11     1    13
 -4.5034854881721218E+00 a       174     0    11     1    14
  6.2849994719012061E+00 a       175     0    11     1    15
 -2.9849772876263014E+01 a       176     0    11     1    16
  3.4078900602882641E+01 a       177     0    12     1     1
 -5.9659409829128059E+01 a       178     0    12     1     2
 -4.2797477869377303E+01 a       179     0    12     1     3
  2.3266253168561054E+01 a       180     0    12     1     4
  5.5141688161597479E+01 a       181     0    12     1     5
  4.2580856928021660E+01 a       182     0    12     1     6
 -4.7398947412295605E+01 a       183     0    12     1     7
  7.8029475324634427E+00 a       184     0    12     1     8
