################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.5072417095905788E+00 a       266     0    17     1    10
 -1.4773526753886190E+00 a       267     0    17     1    11
  8.1338751952549977E+00 a       268     0    17     1    12
 -1.5386150316277676E+00 a       269     0    17     1    13
 -4.7102626225635662E+00 a       270     0    17     1    14
  7.2889658147402550E+00 a       271     0    17     1    15
  3.1908617200438338E+00 a       272     0    17     1    16
 -1.3615620898775438E+01 a       273     0    18     1     1
  3.8587757428945189E+00 a       274     0    18     1     2
  2.0990347095392687E+00 a       275     0    18     1     3
 -7.2762956433702072E+01 a       276     0    18     1     4
 -5.6643130010240576E+01 a       277     0    18     1     5
 -1.6574232074247334E+01 a       278     0    18     1     6
 -1.9600263193426148E+01 a       279     0    18     1     7
  4.1149497316039991E+01 a       280     0    18     1     8
 -6.6400872769265277E+01 a       281     0    18     1     9
 -1.4315750883025695E+01 a       282     0    18     1    10
  9.4433613632447688E+01 a       283     0    18     1    11
  3.1470927502510314E+01 a       284     0    18     1    12
  3.6461709547744796E+01 a       285     0    18     1    13
  5.6048626304133485E+01 a       286     0    18     1    14
 -8.5243145505450890E+00 a       287     0    18     1    15
  1.5506416498268260E+02 a       288     0    18     1    16
 -2.8189953963865104E+00 a       289     0    19     1     1
  1.9530139276852022E+01 a       290     0    19     1     2
  3.3046043128805032E+01 a       291     0    19     1     3
  1.6045861319469129E+01 a       292     0    19     1     4
  6.1072141533694095E+00 a       293     0    19     1     5
 -9.6226074260389638E-01 a       294     0    19     1     6
  2.7184815934173006E+01 a       295     0    19     1     7
  1.1063581176741360E+01 a       296     0    19     1     8
 -7.6390052298940656E+00 a       297     0    19     1     9
  1.0794303143160233E+01 a       298     0    19     1    10
 -1.5101975139704590E+01 a       299     0    19     1    11
 -2.0699079398669539E+01 a       300     0    19     1    12
  5.7969835385346835E+00 a       301     0    19     1    13
 -1.5595096014204557E-01 a       302     0    19     1    14
 -5.6260627737397574E-02 a       303     0    19     1    15
 -2.7634386465637767E-01 a       304     0    19     1    16
  1.5448851385816535E+01 a       305     0    20     1     1
  1.8774185032324681E+02 a       306     0    20     1     2
 -9.8546986119969802E+00 a       307     0    20     1     3
  1.5773000523148182E+01 a       308     0    20     1     4
  3.2710014581919047E+01 a       309     0    20     1     5
  1.1110286839027269E+01 a       310     0    20     1     6
 -3.5784718377258116E+01 a       311     0    20     1     7
  8.1265699114345111E+01 a       312     0    20     1     8
 -2.9369007701015661E+01 a       313     0    20     1     9
 -4.9189831073465012E-01 a       314     0    20     1    10
 -4.3765300252024488E+01 a       315     0    20     1    11
 -9.5881411629082024E+01 a       316     0    20     1    12
  1.5022034317647849E+01 a       317     0    20     1    13
 -9.5701568780726163E+00 a       318     0    20     1    14
 -4.1400415091004499E+00 a       319     0    20     1    15
  1.2349532341252831E+02 a       320     0    20     1    16
  1.1343811626047575E+01 a       321     0    21     1     1
 -1.1350980517389974E+01 a       322     0    21     1     2
  2.5423638948471430E+00 a       323     0    21     1     3
  1.5909744845604484E+01 a       324     0    21     1     4
  2.8992800848876140E+01 a       325     0    21     1     5
  9.8834593676964122E+00 a       326     0    21     1     6
  1.1847572921681786E+01 a       327     0    21     1     7
 -6.0068971926215982E+00 a       328     0    21     1     8
  1.9561586152498865E+01 a       329     0    21     1     9
  1.6922380090833240E+01 a       330     0    21     1    10
 -4.5689351597689814E+01 a       331     0    21     1    11
 -2.9716501954945048E+01 a       332     0    21     1    12
 -2.0855945252467421E+01 a       333     0    21     1    13
 -2.8174646478401982E+01 a       334     0    21     1    14
  9.6629789198000466E+00 a       335     0    21     1    15
 -5.8275155245085962E+01 a       336     0    21     1    16
  6.4115058781562011E+00 a       337     0    22     1     1
 -6.8639415108557003E+01 a       338     0    22     1     2
 -1.5754557619037739E+01 a       339     0    22     1     3
 -3.4011762221415474E+01 a       340     0    22     1     4
  5.9828793881625799E+00 a       341     0    22     1     5
  1.5420101318333741E+01 a       342     0    22     1     6
  1.1975965814174311E+01 a       343     0    22     1     7
 -7.8058903684665637E+01 a       344     0    22     1     8
  7.3416212883049727E+00 a       345     0    22     1     9
 -1.0308025106277637E-01 a       346     0    22     1    10
  3.0345367846041217E+01 a       347     0    22     1    11
  2.4669465644612696E+01 a       348     0    22     1    12
 -8.3551564530869393E-01 a       349     0    22     1    13
  2.8519570814911638E+01 a       350     0    22     1    14
 -1.8654723810710358E+01 a       351     0    22     1    15
 -6.4646211864567505E+01 a       352     0    22     1    16
  4.8393719406204178E-01 a       353     0    23     1     1
  1.6504249488285943E+00 a       354     0    23     1     2
  8.1771284446405124E-01 a       355     0    23     1     3
  6.4357621642342462E+00 a       356     0    23     1     4
  9.0519313841150293E+00 a       357     0    23     1     5
  3.3603361478121760E+00 a       358     0    23     1     6
  3.7197253238098256E+00 a       359     0    23     1     7
 -8.6643176190382620E-01 a       360     0    23     1     8
  3.7267203352127187E+00 a       361     0    23     1     9
 -8.2009648133431312E-01 a       362     0    23     1    10
 -9.7504725925429003E+00 a       363     0    23     1    11
 -4.9175246869256500E-01 a       364     0    23     1    12
