################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1551463316942248E+00 a       160     0    10     1    16
  1.6921775003236270E+01 a       161     0    11     1     1
 -1.2321116659539264E+01 a       162     0    11     1     2
 -1.1086510334231769E+00 a       163     0    11     1     3
 -9.5123106926009857E+00 a       164     0    11     1     4
  1.4948218607636561E+00 a       165     0    11     1     5
 -2.4810240004306934E+01 a       166     0    11     1     6
 -1.3246615976961124E+01 a       167     0    11     1     7
  1.2492443241226521E+01 a       168     0    11     1     8
 -1.7097316513248037E-01 a       169     0    11     1     9
 -1.5105746504169380E+01 a       170     0    11     1    10
  2.3716792792824166E+00 a       171     0    11     1    11
  7.4144489459744136E+00 a       172     0    11     1    12
 -9.7851473953866197E+00 a       173     0    11     1    13
  4.7565220320966288E+00 a       174     0    11     1    14
  3.3430170329169471E+01 a       175     0    11     1    15
  2.3992850429367136E+00 a       176     0    11     1    16
 -7.1676673278498431E+00 a       177     0    12     1     1
  1.3223272765914261E+01 a       178     0    12     1     2
 -8.2426248121777199E+00 a       179     0    12     1     3
  6.2289483325984456E+00 a       180     0    12     1     4
  2.1250167199088912E+00 a       181     0    12     1     5
 -2.1642497669648172E+01 a       182     0    12     1     6
 -1.9783255832150136E+01 a       183     0    12     1     7
  4.7066292113849784E+00 a       184     0    12     1     8
 -1.7822636316616549E+01 a       185     0    12     1     9
 -2.7719896756058997E+00 a       186     0    12     1    10
 -2.8975942694423019E+01 a       187     0    12     1    11
 -1.8459351342392871E+01 a       188     0    12     1    12
  1.8433181581051635E+01 a       189     0    12     1    13
  1.5071500702843910E+01 a       190     0    12     1    14
 -5.3881843173294000E+00 a       191     0    12     1    15
 -2.4766001999719478E+01 a       192     0    12     1    16
 -2.0202643376398186E+01 a       193     0    13     1     1
  9.5106851664623449E+00 a       194     0    13     1     2
 -2.6866855329955214E+01 a       195     0    13     1     3
 -4.9399604578107486E+00 a       196     0    13     1     4
 -2.8425075107964282E+00 a       197     0    13     1     5
 -1.4912455111500275E+01 a       198     0    13     1     6
  3.3581623050899346E+01 a       199     0    13     1     7
 -9.6216081137537550E+00 a       200     0    13     1     8
  3.7232144817421284E+00 a       201     0    13     1     9
  8.2347019289935020E+00 a       202     0    13     1    10
 -7.9822602721994196E+00 a       203     0    13     1    11
 -2.0203378231615993E+01 a       204     0    13     1    12
  7.8838937445047552E+00 a       205     0    13     1    13
 -2.6705860060470631E+01 a       206     0    13     1    14
  1.9652497425888310E+01 a       207     0    13     1    15
 -3.0734759125605389E+00 a       208     0    13     1    16
  3.4929308736842025E+01 a       209     0    14     1     1
 -7.2792654662048255E+00 a       210     0    14     1     2
  1.5318308308785094E+01 a       211     0    14     1     3
  3.6951445879497584E+01 a       212     0    14     1     4
  7.4140037388687363E-01 a       213     0    14     1     5
  1.2448902669878088E+00 a       214     0    14     1     6
 -4.6827337487389087E+01 a       215     0    14     1     7
 -2.4380099787246525E+00 a       216     0    14     1     8
 -6.2330966292467975E+00 a       217     0    14     1     9
  3.1400425473026260E+01 a       218     0    14     1    10
 -5.0751393568854745E+01 a       219     0    14     1    11
  1.0613934791761748E+01 a       220     0    14     1    12
 -1.7291914450558417E+00 a       221     0    14     1    13
 -6.1517128739602454E+00 a       222     0    14     1    14
 -2.0047977367822575E+01 a       223     0    14     1    15
 -7.8732595575724735E+00 a       224     0    14     1    16
  1.8132372537784791E+00 a       225     0    15     1     1
 -1.2558491686858090E+01 a       226     0    15     1     2
 -1.2532606884280245E+01 a       227     0    15     1     3
  4.6048312294502452E+01 a       228     0    15     1     4
 -1.2845685274654155E+01 a       229     0    15     1     5
  1.9790795796290475E+01 a       230     0    15     1     6
  1.3697512157201205E+01 a       231     0    15     1     7
 -3.1027873156057481E+01 a       232     0    15     1     8
 -3.3842969276637419E+01 a       233     0    15     1     9
 -1.0481736725684806E+01 a       234     0    15     1    10
  2.5305516372357921E+01 a       235     0    15     1    11
  2.6508521905277380E+00 a       236     0    15     1    12
  1.3504457559126971E+01 a       237     0    15     1    13
  7.5317087385238035E-01 a       238     0    15     1    14
 -4.4179680424202576E+00 a       239     0    15     1    15
 -2.1355883077885142E+01 a       240     0    15     1    16
 -7.1681116117625736E+00 a       241     0    16     1     1
 -1.7187512487721983E+00 a       242     0    16     1     2
 -1.3356334328731794E+00 a       243     0    16     1     3
  5.9908582658380576E+00 a       244     0    16     1     4
  7.5054325199145104E+00 a       245     0    16     1     5
  2.1237696202686393E-01 a       246     0    16     1     6
  3.7011575166714290E+00 a       247     0    16     1     7
 -6.0855135828565983E+00 a       248     0    16     1     8
 -7.8055803095762641E+00 a       249     0    16     1     9
  9.3510177396420797E+00 a       250     0    16     1    10
 -2.1139093131957605E+00 a       251     0    16     1    11
 -9.6980370496681818E+00 a       252     0    16     1    12
 -2.5578134573152038E+00 a       253     0    16     1    13
 -1.1073734903079560E+00 a       254     0    16     1    14
 -5.7785788438136476E-01 a       255     0    16     1    15
 -9.2730543025050469E+00 a       256     0    16     1    16
  7.2564950707272828E+00 a       257     0    17     1     1
 -1.3114735685651221E-01 a       258     0    17     1     2
 -1.1380940851811325E+00 a       259     0    17     1     3
  6.2433399035123935E+00 a       260     0    17     1     4
 -5.1879038566708957E-01 a       261     0    17     1     5
  7.3587761219605075E-01 a       262     0    17     1     6
  3.5612079822889225E-01 a       263     0    17     1     7
 -5.8439089092370020E+00 a       264     0    17     1     8
 -4.2500158491024855E+00 a       265     0    17     1     9
 -3.1787704679058542E+00 a       266     0    17     1    10
  5.4320047680148695E+00 a       267     0    17     1    11
  2.6813438345898905E-01 a       268     0    17     1    12
  5.8186202518042522E+00 a       269     0    17     1    13
  4.1572627635845363E+00 a       270     0    17     1    14
  2.4326639989451024E+00 a       271     0    17     1    15
 -4.4689333968135934E+00 a       272     0    17     1    16
 -6.7461879175925423E+00 a       273     0    18     1     1
  4.0372371522664139E+00 a       274     0    18     1     2
  5.0191713391993709E+00 a       275     0    18     1     3
  2.3907215981719205E+00 a       276     0    18     1     4
  3.3544674670839854E+00 a       277     0    18     1     5
 -6.3614236918799072E-01 a       278     0    18     1     6
  5.6601634722556469E+00 a       279     0    18     1     7
 -3.7028219750539990E+00 a       280     0    18     1     8
 -3.2768583732494898E+00 a       281     0    18     1     9
  7.8232995855598499E+00 a       282     0    18     1    10
  4.1214934279150812E+00 a       283     0    18     1    11
 -5.2212649577496810E+00 a       284     0    18     1    12
  3.7299595501519787E+00 a       285     0    18     1    13
  3.9720749332783423E+00 a       286     0    18     1    14
 -7.9028621104046001E-02 a       287     0    18     1    15
 -1.1210981072874799E+00 a       288     0    18     1    16
  3.6796150470213624E+00 a       289     0    19     1     1
 -7.3501447857383573E-01 a       290     0    19     1     2
 -6.9901409326070079E+00 a       291     0    19     1     3
 -7.1048439235950740E+00 a       292     0    19     1     4
 -5.8521118120026161E-01 a       293     0    19     1     5
  8.6880757357778702E+00 a       294     0    19     1     6
  3.4014551319961761E+00 a       295     0    19     1     7
  7.2098373232645874E-01 a       296     0    19     1     8
  6.6016131606659334E-01 a       297     0    19     1     9
  2.7737068525508874E+00 a       298     0    19     1    10
 -6.7497397694291976E+00 a       299     0    19     1    11
  2.0228555627088545E+00 a       300     0    19     1    12
  2.1571906115025614E+00 a       301     0    19     1    13
 -3.1855026284549384E+00 a       302     0    19     1    14
 -5.8350275042864141E-01 a       303     0    19     1    15
  5.5418403727730876E+00 a       304     0    19     1    16
  2.7540567182644797E+00 a       305     0    20     1     1
  5.5317905932711575E-01 a       306     0    20     1     2
 -1.8348661214445691E+01 a       307     0    20     1     3
  1.1119525293954116E+01 a       308     0    20     1     4
 -3.8345434358622391E+01 a       309     0    20     1     5
  5.3760250619952350E+00 a       310     0    20     1     6
  4.1489528512102360E+01 a       311     0    20     1     7
  2.1807109926883236E+01 a       312     0    20     1     8
 -4.8132217215265541E+01 a       313     0    20     1     9
  2.6762201228583287E+01 a       314     0    20     1    10
  2.1190767295186106E+01 a       315     0    20     1    11
  1.7572520945625016E+01 a       316     0    20     1    12
 -4.1321003980072284E+01 a       317     0    20     1    13
 -1.4467801648930202E+01 a       318     0    20     1    14
 -7.8747823824772301E-01 a       319     0    20     1    15
  5.1848002682105525E+00 a       320     0    20     1    16
 -2.0521732540138661E+01 a       321     0    21     1     1
  2.3025666240658957E+01 a       322     0    21     1     2
 -6.7198952428098364E+00 a       323     0    21     1     3
 -1.2623157636004933E+01 a       324     0    21     1     4
 -1.0765095204994784E+01 a       325     0    21     1     5
  3.4043800501918845E+01 a       326     0    21     1     6
  1.8677867715325313E+01 a       327     0    21     1     7
 -8.6443815182590775E+00 a       328     0    21     1     8
  1.9852229381245529E+01 a       329     0    21     1     9
 -8.4069460478509050E+00 a       330     0    21     1    10
  1.8385245445354965E+01 a       331     0    21     1    11
  9.2071435136745183E+00 a       332     0    21     1    12
  2.0999750709602907E+01 a       333     0    21     1    13
 -4.0595850848944011E+00 a       334     0    21     1    14
 -6.6067107159908943E+01 a       335     0    21     1    15
 -2.6539936074569641E+00 a       336     0    21     1    16
  8.8821354284834353E+00 a       337     0    22     1     1
 -1.1609789815415667E+01 a       338     0    22     1     2
  6.1461111763603945E+01 a       339     0    22     1     3
  1.1785967592531604E+01 a       340     0    22     1     4
  1.4305430010941668E+01 a       341     0    22     1     5
  1.5343619661608026E+01 a       342     0    22     1     6
  1.6227189463762791E+01 a       343     0    22     1     7
 -1.2626371675354003E+01 a       344     0    22     1     8
  3.4089301648840959E+01 a       345     0    22     1     9
  2.0333156987725332E+01 a       346     0    22     1    10
  9.0495294075673769E+01 a       347     0    22     1    11
  6.2233444501150785E+01 a       348     0    22     1    12
 -5.9324429630540912E+01 a       349     0    22     1    13
 -3.1130195971171761E+00 a       350     0    22     1    14
  5.7884254664894295E+00 a       351     0    22     1    15
  6.7718587663264636E+00 a       352     0    22     1    16
 -7.9708997661299890E+01 a       353     0    23     1     1
  2.9371154800016171E+01 a       354     0    23     1     2
 -4.8576661837064727E+01 a       355     0    23     1     3
 -6.7478563557614208E+01 a       356     0    23     1     4
 -1.9248937745214903E+01 a       357     0    23     1     5
 -2.2920534753780061E+01 a       358     0    23     1     6
  6.9944062592106576E+01 a       359     0    23     1     7
  1.5360939139153178E+01 a       360     0    23     1     8
 -1.5369728758780518E+01 a       361     0    23     1     9
 -6.6503207518012033E+01 a       362     0    23     1    10
  3.4900440612584312E+01 a       363     0    23     1    11
 -6.2884144836989378E+01 a       364     0    23     1    12
  4.4447838197441321E+01 a       365     0    23     1    13
  2.2095596597655945E+01 a       366     0    23     1    14
  3.1102877958937320E+01 a       367     0    23     1    15
  1.0423839138035458E+01 a       368     0    23     1    16
  8.2902895593640142E+00 a       369     0    24     1     1
 -5.7413729274685235E+00 a       370     0    24     1     2
  4.2673887071535056E+01 a       371     0    24     1     3
 -1.5970525979906977E+01 a       372     0    24     1     4
  2.2333845957115603E+01 a       373     0    24     1     5
  1.3284706966896481E+01 a       374     0    24     1     6
 -5.8349179859598095E+01 a       375     0    24     1     7
  1.8099773063193382E+01 a       376     0    24     1     8
  3.1812041550354586E+01 a       377     0    24     1     9
 -8.4139984974377615E+00 a       378     0    24     1    10
 -1.7747894568358610E+01 a       379     0    24     1    11
  1.2051100791026903E+01 a       380     0    24     1    12
 -2.4722492867479189E+00 a       381     0    24     1    13
  2.9751167913870248E+01 a       382     0    24     1    14
 -2.6495343136598017E+01 a       383     0    24     1    15
  1.3789954400127289E+01 a       384     0    24     1    16
  1.5185687250347133E+01 a       385     0    25     1     1
 -9.2871615562000880E+00 a       386     0    25     1     2
  7.6736157123866526E+00 a       387     0    25     1     3
  4.0482377405195438E+00 a       388     0    25     1     4
 -6.5099306997018269E+00 a       389     0    25     1     5
 -1.4809401942711018E+01 a       390     0    25     1     6
 -1.5934917416736726E+01 a       391     0    25     1     7
  1.1489642554780911E+01 a       392     0    25     1     8
 -1.8825648194640507E+00 a       393     0    25     1     9
  1.1131317624821453E+00 a       394     0    25     1    10
 -1.4676362471436368E+01 a       395     0    25     1    11
  2.4985404411899319E+00 a       396     0    25     1    12
 -1.1652585620310436E+01 a       397     0    25     1    13
 -2.3183967840313147E-01 a       398     0    25     1    14
  2.7532748131510207E+01 a       399     0    25     1    15
  1.1736298793266174E+01 a       400     0    25     1    16
  3.7507420591615883E+00 a       401     0    26     1     1
  1.8777235250415329E+00 a       402     0    26     1     2
  2.5152594688897629E+00 a       403     0    26     1     3
 -9.2418447085855560E-02 a       404     0    26     1     4
  4.2673424132758999E+00 a       405     0    26     1     5
  1.1297472607214560E+00 a       406     0    26     1     6
 -8.2395955896781248E-01 a       407     0    26     1     7
 -5.9288931571876331E+00 a       408     0    26     1     8
  1.5148916205715179E+00 a       409     0    26     1     9
  6.9615113424514444E-02 a       410     0    26     1    10
  1.1353234840223614E+00 a       411     0    26     1    11
 -1.7257868953229751E+00 a       412     0    26     1    12
  9.1172372944153981E+00 a       413     0    26     1    13
  6.0727063674073030E+00 a       414     0    26     1    14
  2.0459731873376521E+00 a       415     0    26     1    15
 -9.8976315608062237E-01 a       416     0    26     1    16
  2.6761344348490368E-01 a       417     0    27     1     1
  1.7883947671183615E+00 a       418     0    27     1     2
  3.9698086812552860E+00 a       419     0    27     1     3
 -3.4574003360136502E-01 a       420     0    27     1     4
  2.4355418318671367E+00 a       421     0    27     1     5
 -1.1892823205990137E+00 a       422     0    27     1     6
  2.2869841567104183E+00 a       423     0    27     1     7
 -1.9824507180937594E+00 a       424     0    27     1     8
 -2.2201121557287173E+00 a       425     0    27     1     9
  3.7898913632026647E+00 a       426     0    27     1    10
  5.0849333518818316E+00 a       427     0    27     1    11
 -2.8361028114460645E+00 a       428     0    27     1    12
  3.0047148563026553E+00 a       429     0    27     1    13
  4.8153553982461359E+00 a       430     0    27     1    14
  7.6535441329692944E+00 a       431     0    27     1    15
  2.8625526661576730E+00 a       432     0    27     1    16
  2.4236508748292522E+01 a       433     0    28     1     1
 -6.8415232675893272E+00 a       434     0    28     1     2
  2.3741715268946881E-01 a       435     0    28     1     3
  1.1747521408899315E+01 a       436     0    28     1     4
  4.2763837444453534E+00 a       437     0    28     1     5
  1.5703460801136826E+01 a       438     0    28     1     6
 -1.5267102560129374E+01 a       439     0    28     1     7
 -7.1541145866192335E-01 a       440     0    28     1     8
  2.6500550204285096E+00 a       441     0    28     1     9
  1.5553085418814495E+01 a       442     0    28     1    10
 -1.6355705100945240E+01 a       443     0    28     1    11
  1.0438399018452399E+01 a       444     0    28     1    12
 -4.8869850048293815E+00 a       445     0    28     1    13
 -5.9516130300440135E+00 a       446     0    28     1    14
 -3.6522648929134047E+00 a       447     0    28     1    15
  2.1709226602864509E+00 a       448     0    28     1    16
 -6.2993391013936488E+00 a       449     0    29     1     1
 -1.8223078286087202E+00 a       450     0    29     1     2
 -3.0589206740001234E+00 a       451     0    29     1     3
 -4.9563245243203902E-01 a       452     0    29     1     4
 -3.3134316962504418E-01 a       453     0    29     1     5
 -4.3875771742776699E+00 a       454     0    29     1     6
  1.9134044267566774E+00 a       455     0    29     1     7
 -2.4382300365318068E+00 a       456     0    29     1     8
  1.8605025108836051E+00 a       457     0    29     1     9
 -2.7861022024495399E+00 a       458     0    29     1    10
 -2.7916143923340555E+00 a       459     0    29     1    11
 -3.6864572164391500E+00 a       460     0    29     1    12
  4.2917826958814165E-01 a       461     0    29     1    13
 -7.6734578083560532E+00 a       462     0    29     1    14
  2.1171051432386343E+00 a       463     0    29     1    15
  1.3764996377346075E-01 a       464     0    29     1    16
  6.1140206008249285E+00 a       465     0    30     1     1
 -8.9790288924027717E+00 a       466     0    30     1     2
 -7.1918313457938892E+00 a       467     0    30     1     3
  1.4901730978876149E+00 a       468     0    30     1     4
  1.2117978901256168E+00 a       469     0    30     1     5
 -1.7145946456003485E+00 a       470     0    30     1     6
 -4.5166772316541968E+00 a       471     0    30     1     7
  1.1801662050685868E+00 a       472     0    30     1     8
 -1.3859511222233656E+00 a       473     0    30     1     9
 -6.8932304900234849E+00 a       474     0    30     1    10
 -7.8985684670974425E+00 a       475     0    30     1    11
  2.2404952021031401E+00 a       476     0    30     1    12
 -5.9813190465638089E+00 a       477     0    30     1    13
 -6.4459617991407816E+00 a       478     0    30     1    14
  1.4043514175606013E+00 a       479     0    30     1    15
 -6.8482143408156446E+00 a       480     0    30     1    16
  1.8439574606036921E+01 a       481     0    31     1     1
 -9.2033046685340913E+00 a       482     0    31     1     2
  1.7201794223520700E+01 a       483     0    31     1     3
  3.0264697719315460E+01 a       484     0    31     1     4
  6.5097440023923925E+00 a       485     0    31     1     5
 -9.2321641431846704E+00 a       486     0    31     1     6
 -2.7036614729730033E+01 a       487     0    31     1     7
 -8.5958567100823640E+00 a       488     0    31     1     8
 -7.7943988508607731E-01 a       489     0    31     1     9
  1.5221023531613966E+01 a       490     0    31     1    10
 -1.4286911968587590E+01 a       491     0    31     1    11
